Suffix মএ not at end of wordform অতইথইশআলআয়, af: ['অতিথিশালা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix নএ not at end of wordform আছই, af: ['আছ', 'v', '', '', '1', '', 'নে', 'নে']
Suffix নএ not at end of wordform আছএ, af: ['আছ', 'v', '', '', '3', '', 'নে', 'নে']
Suffix নএই not at end of wordform আছএই, af: ['আছ', 'v', '', '', '3', '', 'নেই', 'নেই']
Suffix মএ not at end of wordform আটটআ, af: ['আট', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix মএ not at end of wordform আটটআ, af: ['আট', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix মএ not at end of wordform আটটআয়, af: ['আট', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix এর not at end of wordform আপনআর, af: ['আপনি', 'pn', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform আমআর, af: ['আমি', 'pn', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform আমআর, af: ['আমি', 'pn', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform আমআর, af: ['আমি', 'pn', '', 'sg', '', 'o', 'এর', 'এর']
Suffix কএ not at end of wordform আমআয়, af: ['আমি', 'pn', '', 'sg', '', 'd', 'কে', 'কে']
Suffix মএ not at end of wordform আলওয়, af: ['আলো', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix এর not at end of wordform আশআর, af: ['আশা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform আশআয়, af: ['আশা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix ক not at end of wordform আসউন, af: ['আস', 'v', '', '', '2', '', 'ক', 'ক']
Suffix নএ not at end of wordform আসএ, af: ['আস', 'v', '', '', '3', '', 'নে', 'নে']
Suffix নএ not at end of wordform আসএ, af: ['আস', 'v', '', '', '3', '', 'নে', 'নে']
Suffix মএ not at end of wordform আস্তআনআয়, af: ['আস্তানা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix মএ not at end of wordform ইশআরআয়, af: ['ইশারা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix আই not at end of wordform উঠতএই, af: ['উঠ', 'v', '', '', 'any', '', 'আই', 'আই']
Suffix ভএ not at end of wordform উঠএ, af: ['উঠ', 'v', '', '', 'any', '', 'ভে', 'ভে']
