Suffix ्यातील not at position 4, 10, of wordform अगर्‍यातील, af: ['अगरा', 'n', '', '', '', '', '्यातील', '्यातील']
Suffix र्यांंनी not at position 4, 12, of wordform अधिकाऱ्यांना, af: ['अधिकारी', 'n', 'm', 'pl', '', 'o', '', 'र्यांंनी']
Suffix ल not at position 8, 9, of wordform अमेरीकेला, af: ['अमेरीका', 'n', 'f', 'sg', '', 'o', 'ला', 'े_ल']
Suffix े not at position 8, 9, of wordform अमेरीकेला, af: ['अमेरीका', 'n', 'f', 'sg', '', 'o', 'ला', 'े_ल']
Suffix ्या not at position 6, 9, of wordform अश्‍लीलतेच्या, af: ['अश्\u200dलीलतेच्या', 'n', 'f', 'sg', '3', 'o', 'च्या', '्या_च्या']
Suffix नारे not at position 2, 6, of wordform असणारे, af: ['अस', 'v', 'n', 'sg', '3', '', 'नारे', 'नारे']
Suffix tn not at position 6, 8, of wordform असणाऱ्या, af: ['अस', 'v', '', '', '', 'o', 'णाऱ्या', 'tn']
Suffix tn not at position 6, 8, of wordform असणाऱ्या, af: ['अस', 'v', '', '', '', 'o', 'णाऱ्या', 'tn']
Suffix णारा not at position 1, 5, of wordform असणाऱ्या, af: ['अस', 'v', 'm', 'sg', '', 'o', 'णारा_', 'णारा_्या']
Suffix tn not at position 6, 8, of wordform असणाऱ्या, af: ['अस', 'v', '', '', '', 'o', 'णाऱ्या', 'tn']
Suffix d not at position 3, 4, of wordform असणे, af: ['n_kr', 'kr', 'अस', 'v', 'n', 'sg', '', 'd']
Suffix o not at position 7, 8, of wordform असण्याची, af: ['n_kr', 'kr', 'अस', 'v', 'n', 'sg', '', 'o']
Suffix o not at position 7, 8, of wordform असण्यावर, af: ['n_kr', 'kr', 'अस', 'v', 'n', 'sg', '', 'o']
Suffix 3 not at position 3, 4, of wordform असतं, af: ['p', 'pas', 'c', 'अस', 'v', 'n', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform असता, af: ['p', 'pas', 'c', 'अस', 'v', 'm', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform असतात, af: ['h', 'ak', 'pre', 'अस', 'v', 'm', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform असतात, af: ['h', 'ak', 'pre', 'अस', 'v', 'm', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform असतात, af: ['h', 'ak', 'pre', 'अस', 'v', 'n', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform असतात, af: ['h', 'pre', 'ak', 'अस', 'v', 'n', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform असतात, af: ['h', 'pre', 'ak', 'अस', 'v', 'n', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform असतात, af: ['pre', 'ak', 'h', 'अस', 'v', 'f', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform असतात, af: ['pre', 'ak', 'h', 'अस', 'v', 'm', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform असतात, af: ['pre', 'ak', 'h', 'अस', 'v', 'n', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform असतात, af: ['pre', 'ak', 'h', 'अस', 'v', 'n', 'pl', '3']
Suffix ते not at position 3, 5, of wordform असतात, af: ['अस', 'v', 'n', 'pl', '3', '', 'ते', 'ते']
Suffix 3 not at position 3, 4, of wordform असती, af: ['p', 'pas', 'c', 'अस', 'v', 'f', 'sg', '3']
Suffix sg not at position 2, 4, of wordform असते, af: ['c', 'pas', 'ak', 'p', 'अस', 'v', 'n', 'sg']
Suffix 3 not at position 3, 4, of wordform असते, af: ['h', 'ak', 'pre', 'अस', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform असते, af: ['h', 'ak', 'pre', 'अस', 'v', 'n', 'sg', '3']
Suffix sg not at position 2, 4, of wordform असते, af: ['c', 'pas', 'ak', 'p', 'अस', 'v', 'n', 'sg']
Suffix 3 not at position 3, 4, of wordform असते, af: ['h', 'ak', 'pre', 'अस', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform असते, af: ['h', 'ak', 'pre', 'अस', 'v', 'n', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform असते, af: ['pre', 'ak', 'h', 'अस', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform असतो, af: ['h', 'ak', 'pre', 'अस', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform असतो, af: ['ak', 'p', 'pas', 'अस', 'v', 'm', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform असतो, af: ['h', 'ak', 'pre', 'अस', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform असतो, af: ['h', 'pre', 'ak', 'अस', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform असली, af: ['p', 'ak', 'pas', 'अस', 'v', 'n', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform असली, af: ['p', 'ak', 'pas', 'अस', 'v', 'n', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform असले, af: ['p', 'ak', 'pas', 'अस', 'v', 'n', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform असले, af: ['p', 'ak', 'pas', 'अस', 'v', 'n', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform असले, af: ['pas', 'ak', 'p', 'अस', 'v', 'n', 'sg', '3']
Suffix d not at position 5, 6, of wordform असलेला, af: ['l_kr', 'kr', 'अस', 'v', 'm', 'sg', '', 'd']
Suffix लेले not at position 4, 8, of wordform असलेल्या, af: ['अस', 'v', 'n', 'sg', '', 'd', 'लेले', 'लेले']
Suffix o not at position 7, 8, of wordform असल्याने, af: ['l_kr', 'kr', 'अस', 'v', 'n', 'sg', '', 'o']
Suffix o not at position 9, 10, of wordform असल्यामुळे, af: ['l_kr', 'kr', 'अस', 'v', 'n', 'sg', '', 'o']
Suffix ून not at position 4, 6, of wordform असूनही, af: ['kr', 'अस', 'v', '', '', '', '', 'ून']
Suffix 3 not at position 2, 3, of wordform असे, af: ['h', 'pre', 'ak', 'अस', 'v', 'n', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform असे, af: ['pas', 'ak', 'h', 'अस', 'v', 'm', 'sg', '3']
Suffix े not at position 2, 3, of wordform आंबे, af: ['आंबा', 'n', 'm', 'pl', '', 'o', 'े', 'े_े']
Suffix ्याच्या not at position 4, 11, of wordform आगर्‍याच्या, af: ['आगरा', 'n', '', '', '', '', '्याच्या', '्याच्या']
Suffix ्यात not at position 4, 8, of wordform आगर्‍यात, af: ['आगरा', 'n', 'm', 'sg', '3', '', '्यात', '्यात']
Suffix ्याहून not at position 4, 10, of wordform आगर्‍याहून, af: ['आगरा', 'n', '', '', '', '', '्याहून', '्याहून']
Suffix च्या not at position 5, 9, of wordform आजूबाजूचे, af: ['आजूबाजू', 'nst', '', '', '', '', 'च्या', 'च्या']
Suffix 3 not at position 5, 6, of wordform आढळतात, af: ['h', 'ak', 'pre', 'आढळ', 'v', 'm', 'pl', '3']
Suffix 3 not at position 5, 6, of wordform आढळतात, af: ['h', 'ak', 'pre', 'आढळ', 'v', 'm', 'pl', '3']
